x_coord,y_coord,Brightness,Total_Pixel_Count,Pixel_Std,Eccentricity,Area,Error
170,3,15.324387409603725,188,5982.430965021235,0.9149018811083341,188,0.13832852219949765
399,1,18.263646594594245,24,2097.5142364766493,0.6901904267076215,24,0.4589739261024346
453,8,14.838942807109037,246,7972.940512866419,0.8128767300808403,246,0.13657027322699614
522,1,16.790850352961524,15,1110.0750725363878,0.8572478587885409,15,0.3582858432522422
652,1,15.015101897903243,54,5650.596919073076,0.9105728063719005,54,0.4471183745816269
892,1,12.700696766350555,36,2266.603689212258,0.8509271159972507,36,0.22984906500200694
1209,5,13.394203572475615,183,5303.807345772826,0.7608653087781209,183,0.11055922972773152
1403,3,19.49223823292907,23,32863.293627585925,0.9144045968724435,23,2.2028926321661837
1470,9,18.563251577779532,616,26496.865913645313,0.7814758440564279,616,0.22181424563938615
1755,7,15.608004549079189,12,1252.2202504174559,0.6386673647542696,12,0.46953008612320984
337,8,16.442306829003122,18,1713.9946842909922,0.7732805351674386,18,0.4505952050139555
1160,11,16.649719090241145,15,893.8307073116997,0.45033750463947053,15,0.2863140211430096
1382,10,18.829226502682374,19,1144.927388859998,0.39301432644092227,19,0.3271186005791785
1749,14,16.730691408346622,84,12575.09974129038,0.3506572686253631,84,0.7010550080828669
2035,13,18.35658933485356,74,4068.8271372954773,0.6461250965716429,74,0.2879040220866101
1046,14,16.620347429271177,62,3293.872610498704,0.8033961249910468,62,0.25289669923846797
1714,11,17.074554959449443,16,1198.8927183030182,0.7091633557948492,16,0.3684803904156069
401,18,17.09652107680335,73,2243.8080182958306,0.6136552954413945,73,0.1508701918734835
497,19,18.891737714541627,15,1126.0550608207398,0.7850414013354253,15,0.40800032338238656
804,27,16.84920601960154,109,4323.959980539477,0.8363092989387213,109,0.1909581089905561
1135,27,18.325658886882604,57,2153.0168802572875,0.5481713717244913,57,0.19882311434047328
1235,29,15.340457559368819,50,2585.5668624114132,0.5428406449660711,50,0.22778126077339866
2147,27,18.118435024252562,11,659.2006178284836,0.541379131080556,11,0.31308806653225657
473,34,15.070236603743323,52,2655.570092238746,0.6138528477480935,52,0.22078698455741932
1248,31,12.2713923127453,21,1228.811346083295,0.6358494297951249,21,0.20710946745056516
2277,37,17.381028866639028,124,8067.617306952929,0.3283394526231642,124,0.3201668819717
582,34,16.893859006338296,18,1341.0425279342915,0.6459751934999391,18,0.36259056029617176
1290,35,15.547226939842695,22,1367.1243270528964,0.6162887341399139,22,0.2780429350208792
258,37,17.372919556542367,16,1521.3968704779172,0.7235975271032243,16,0.4753368482040853
814,38,17.812264606177024,12,918.1805680559545,0.9487339793935381,12,0.3934297626765117
858,55,17.3447101667942,734,36901.780948637286,0.687005106260666,734,0.23550384271084726
568,48,15.195764455713377,32,1447.003234058238,0.6011817649996852,32,0.197841663395187
698,47,16.274053864498793,20,793.2685547782669,0.7732078908356104,20,0.18644043714851502
200,48,16.837645396855667,16,921.1914838946352,0.6941786493176687,16,0.27903960616740087
752,48,14.614226388686946,19,508.4330389782451,0.8188309338426775,19,0.112986870050274
37,52,15.299080783743346,56,4544.001147509915,0.3439521470751447,56,0.35435993433228663
577,51,16.428833447737617,49,1846.4640273817488,0.6939844412428182,49,0.17812725687514214
2100,58,17.022410056547578,29,1750.1486262688995,0.623141061856081,29,0.2953040350523135
352,58,18.63450970408182,16,1022.5389662501865,0.8616440462740411,16,0.343305988674322
484,60,16.70148248688862,38,1794.6847499771523,0.5580509563519785,38,0.22669199701435822
564,64,16.43959877660443,44,1025.4408445248487,0.7934444717647571,44,0.11054898652474174
1235,65,15.381485609872211,30,1701.5679044144356,0.6761678413971047,30,0.25105652024912284
828,70,17.281781359402093,136,2734.896298553353,0.9052755166197936,136,0.09973155270132392
31,70,16.460882730863204,103,6352.51539789388,0.309097653185147,103,0.28799236286773355
496,68,16.499895227290878,104,2334.168432378019,0.6667027605589251,104,0.10626035557694852
1946,68,16.423110977722963,60,2300.108089247595,0.7037567976015726,60,0.1805779960249897
2113,72,12.500561602990032,174,13055.197005277676,0.6669631740119607,174,0.26295001031780835
61,71,16.925121518837962,107,5643.503272045468,0.36065425066219253,107,0.253981154681142
147,67,16.1492511885626,14,1070.0228874149548,0.8620629602485367,14,0.3557985542935562
1159,71,17.963653280219653,155,4512.419951526964,0.9242234097542654,155,0.1493667585499881
880,67,17.765690662008808,10,839.1066678319271,0.7625176558461324,10,0.43018813647104126
639,69,16.541577287187373,38,1806.262190960403,0.7080127262189089,38,0.22631227613897503
911,76,14.650594029535318,42,2503.1465459268434,0.7442053678863713,42,0.2503743665354081
327,77,14.70501273919816,19,818.4506679359944,0.6991970024921499,19,0.18262461683111347
1215,79,18.768619792776477,35,1090.1563265543757,0.7962600298271294,35,0.1685619983505977
721,79,14.089718021515445,30,1163.9444431185996,0.7840864497233242,30,0.15768741643110057
691,82,15.041998143028607,12,502.4937810560445,0.9324888333881678,12,0.18207136198700305
1135,84,15.230740093116836,21,634.3171735370177,0.8116313911526872,21,0.13288475037815226
131,87,15.210567931284405,60,1775.121279111812,0.6581459641530153,60,0.1295676510494682
2271,87,16.458432893274534,44,4103.9514318973015,0.5737028465152803,44,0.438778009582687
286,90,15.037973667273203,61,2350.756795464316,0.7503583684748504,61,0.1662955954235685
1900,90,16.340622247582267,116,7818.500537442161,0.7412148012107335,116,0.3115454075644903
1157,90,17.17819171087349,47,2360.058849424702,0.69278447601358,47,0.24785287957132407
1005,93,18.32327100453402,70,2536.3962865548006,0.7495651381382793,70,0.1906513374633357
2252,92,17.390594554559996,46,5354.453740413028,0.4613901995654627,46,0.5764017979725669
69,92,18.63131246366651,26,2302.5616041331887,0.7622839299719024,26,0.47371103138709414
354,92,16.18172217009011,19,663.6172177048671,0.7703366223481622,19,0.16327802950049208
894,112,17.712092978594523,742,32386.48313082243,0.651490985638442,742,0.21059548253518628
911,100,15.983710763583408,24,588.2530634571032,0.7585810404396656,24,0.11317092537601663
1527,100,17.585149550582393,52,3330.420016335342,0.5857633757236191,52,0.32192350723380536
92,104,15.29254244247405,28,994.98743710662,0.8193345150427864,28,0.15683248414431525
2230,105,16.08253209217845,76,4745.565067685234,0.5349615241877078,76,0.28622266994902934
834,103,12.684350388177526,19,436.8738098830975,0.7519542168476612,19,0.08430769492880255
70,104,16.133984368740855,10,913.2360045464699,0.9177141670932353,10,0.42498227350228146
420,105,17.75723438533341,32,1485.9629663958656,0.7242247867212174,32,0.23759290354784612
489,105,15.947596203570441,31,1085.674382936628,0.8370087502363988,31,0.1611284518736748
1033,109,10.557746917369052,107,2223.2087172848633,0.623476875493444,107,0.06298708699495308
1502,114,15.442920266813976,141,18843.0746349182,0.45123635211423196,141,0.5712234902284106
182,112,17.822740446258027,27,1165.6609421691908,0.8686356390196124,27,0.22192247418279204
125,120,13.043127989730046,200,8143.846987143115,0.743910837608579,200,0.150241141975071
1086,113,16.71580215543138,12,761.9419633774972,0.8194691426812922,12,0.3065188465955715
2100,120,12.858477562953777,177,26488.49310257975,0.4897936576785126,177,0.5260477181843529
1137,117,17.64905229142278,36,855.0323075262011,0.8415777492772859,36,0.12094274373175345
78,117,17.99582382073216,13,1059.753236879663,0.7136304143692053,13,0.4236240819284536
1079,126,18.578792165436393,160,5273.687595921378,0.8265921883763642,160,0.17461001978166016
