Galaxy,NetCounts,Brightness,Area,Coordinates,Eccentricity
3849,-2937.61328125,nan,16.0,"(3428.1875, 457.375)",0.8330348088741663
3850,61454.77952755906,13.32861083761,221.0,"(3434.447963800905, 1473.3031674208146)",0.7219247265042213
3851,7752.857142857145,15.576345546086952,55.0,"(3430.6181818181817, 1534.9818181818182)",0.45907665008251536
3852,1775.9682539682544,17.17641200412107,15.0,"(3428.6666666666665, 1056.0666666666666)",0.8214548872751102
3853,20835.6294820717,14.502983435465705,165.0,"(3434.4727272727273, 819.060606060606)",0.7301384164077319
3854,-1000.8605577689232,nan,10.0,"(3429.8, 1187.1)",0.9221056624125437
3855,1501.2134387351762,17.358893891185613,48.0,"(3431.8333333333335, 1979.25)",0.4907195458876131
3856,772.6062992125953,18.080104388219006,21.0,"(3432.190476190476, 379.76190476190476)",0.7286381605821901
3857,400.8292682926831,18.792601435205327,8.0,"(3432.5, 845.0)",0.5773502691896258
3858,-2877.317460317461,nan,9.0,"(3431.8888888888887, 862.4444444444445)",0.6486979049872603
3859,-12476.627450980392,nan,14.0,"(3432.785714285714, 1077.4285714285713)",0.9182647822812353
3860,-3855.6066176470595,nan,8.0,"(3432.0, 1177.0)",0.7211200002014748
3861,1911.8207171314734,17.09638209135686,9.0,"(3432.8888888888887, 1408.7777777777778)",0.9434162486449958
3862,338.44881889763747,18.976267492860032,8.0,"(3433.5, 113.375)",0.6353272369503311
3863,-1441.135135135135,nan,11.0,"(3433.5454545454545, 1119.4545454545455)",0.5583984415115201
3864,-240.14566929133798,nan,16.0,"(3434.375, 1568.5625)",0.8632945605349154
3865,-988.8559999999998,nan,11.0,"(3435.2727272727275, 1064.909090909091)",0.36494477785234397
3866,88398.84980237152,12.933883464382841,309.0,"(3446.229773462783, 985.2200647249191)",0.6531270306219094
3867,-5762.448818897636,nan,11.0,"(3435.5454545454545, 1366.3636363636363)",0.8395761614957885
3868,-11115.023999999998,nan,14.0,"(3436.0, 1417.2142857142858)",0.9241475476864996
3869,2745.1384615384595,16.703589363403065,77.0,"(3439.5584415584417, 315.5194805194805)",0.5207269514800519
3870,2836.875968992248,16.66789912892751,10.0,"(3436.7, 1037.3)",0.8633692998637283
3871,-1111.8346456692907,nan,8.0,"(3436.375, 1052.5)",0.8705242673240075
3872,-1625.4015748031488,nan,12.0,"(3436.9166666666665, 1183.8333333333333)",0.30075369660592577
3873,6155.675889328064,15.8268106371363,43.0,"(3440.139534883721, 944.4186046511628)",0.40336432724159615
3874,602363.5179282869,10.850353347505681,1331.0,"(3460.3471074380163, 239.51690458302028)",0.7109041929699136
3875,3407.4166666666642,16.468936891667468,37.0,"(3439.945945945946, 869.6486486486486)",0.5880752409758062
3876,5453.79770992366,15.958252436930781,55.0,"(3442.9454545454546, 1153.0181818181818)",0.457978834352126
3877,71872.40000000002,13.15859463179323,628.0,"(3453.858280254777, 1446.6735668789809)",0.5035648995773396
3878,-6132.007968127487,nan,14.0,"(3440.0714285714284, 132.78571428571428)",0.8891373413133284
3879,22778.75,14.406175279548929,86.0,"(3442.6627906976746, 1009.4069767441861)",0.62798139938576
3880,-687.6746031746006,nan,37.0,"(3442.108108108108, 1613.2972972972973)",0.5713410501823408
3881,1533.3015873015975,17.33593103683837,60.0,"(3442.9666666666667, 374.5833333333333)",0.6162299641992113
3882,1020.830039525692,17.777616396595743,30.0,"(3442.0333333333333, 683.2)",0.6026105492101853
3883,119.02362204724523,20.11091709427744,9.0,"(3440.1111111111113, 1363.3333333333333)",0.35831731433253367
3884,-8910.650000000001,nan,22.0,"(3442.090909090909, 2154.0)",0.8586395772939167
3885,793.2639999999992,18.051455636174477,22.0,"(3442.4545454545455, 202.95454545454547)",0.625215629371495
3886,23240.11023622047,14.384404540653847,236.0,"(3448.2161016949153, 507.20338983050846)",0.5781357106835472
3887,963.822134387352,17.840007760629913,37.0,"(3443.5675675675675, 570.8648648648649)",0.518699713211728
3888,1672.0629921259824,17.24186841320932,25.0,"(3444.84, 1033.48)",0.7069229821988819
3889,1060.9680000000008,17.735744286790002,12.0,"(3444.25, 1054.0833333333333)",0.7128834453854873
3890,3602.166666666657,16.408590492298217,66.0,"(3446.9545454545455, 2016.6515151515152)",0.5352099097403373
3891,1679.639534883725,17.23695977903057,55.0,"(3446.909090909091, 666.8909090909091)",0.5107709828206234
3892,3429.46875,16.46193287541248,11.0,"(3445.3636363636365, 1235.8181818181818)",0.8963493770325383
3893,-2682.7692307692305,nan,13.0,"(3445.076923076923, 1507.923076923077)",0.8549715109091449
3894,665.8957528957544,18.241484387606526,8.0,"(3445.375, 1181.75)",0.9419115287860648
3895,3392.168627450985,16.47380641687029,92.0,"(3451.413043478261, 692.6847826086956)",0.5294911983963827
3896,-593.901185770751,nan,8.0,"(3447.625, 1191.125)",0.6373774391990981
3897,4916.385826771653,16.070885105013815,11.0,"(3447.0, 1355.8181818181818)",0.7879477057102138
3898,540.7058823529405,18.467597264245114,19.0,"(3448.157894736842, 2203.1052631578946)",0.6682906757060113
3899,-6147.059523809527,nan,28.0,"(3450.0714285714284, 2050.3214285714284)",0.8396830828007175
3900,-2612.229249011856,nan,20.0,"(3451.55, 758.9)",0.7366152271871078
3901,-8886.67741935484,nan,26.0,"(3452.9615384615386, 151.5)",0.8092576767861598
3902,10557.8253968254,15.241063811374277,104.0,"(3455.028846153846, 918.3653846153846)",0.4788647804996529
3903,-3213.447058823529,nan,10.0,"(3451.4, 1839.4)",0.8594254366196715
3904,1263.7081712062245,17.545883015821776,12.0,"(3452.25, 1036.3333333333333)",0.8924303367609563
3905,-27472.782945736428,nan,23.0,"(3453.217391304348, 1056.391304347826)",0.8987239472778502
3906,3724.470817120622,16.372338560665376,9.0,"(3452.222222222222, 1174.3333333333333)",0.888295720743309
3907,-43440.23715415019,nan,53.0,"(3457.9622641509436, 1241.811320754717)",0.8396971612014338
3908,5630.294117647049,15.923672294250505,93.0,"(3456.3870967741937, 522.2903225806451)",0.5998998763135682
3909,-18229.956521739135,nan,11.0,"(3455.090909090909, 1000.1818181818181)",0.9616996671233514
3910,811.9561752988047,18.02616852708035,25.0,"(3455.24, 429.92)",0.5978321957113608
3911,-10433.496183206105,nan,17.0,"(3454.9411764705883, 1181.0)",0.789057266119215
3912,4195.487999999998,16.24304379186711,55.0,"(3457.0, 1491.7454545454545)",0.7157487145982591
